player_number,player,gp,gs,minutes_tot,minutes_avg,fg_fgm,fg_fga,fg_fg_pct,3pt,3pt_3pta,3pt_3pt_pct,ft_ftm,ft_fta,ft_ft_pct,scoring_pts,scoring_avg,rebounds_off,rebounds_def,rebounds_tot,rebounds_avg,pf,ast,to,stl,blk,college,season
45,Kaitlyn Eisenhard,28.0,1.0,260.0,9.3,16,38.0,0.421,0,0.0,0.0,20,44.0,0.455,52.0,1.9,25,33,58.0,2.1,33,11,12,6,5.0,mount st marys,2013-14
44,Sarafina Arthur-Williams,22.0,0.0,122.0,5.5,14,36.0,0.389,0,0.0,0.0,7,14.0,0.5,35.0,1.6,10,18,28.0,1.3,22,1,12,5,3.0,mount st marys,2013-14
5,Jayla Leftwich,14.0,0.0,61.0,4.4,7,12.0,0.583,0,0.0,0.0,6,10.0,0.6,20.0,1.4,6,13,19.0,1.4,16,1,4,0,10.0,mount st marys,2013-14
3,Kathleen Belanger-Finn,11.0,0.0,42.0,3.8,3,15.0,0.2,1,4.0,0.25,6,11.0,0.545,13.0,1.2,1,2,3.0,0.3,10,4,11,0,0.0,mount st marys,2013-14
12,Kayla Bates,13.0,0.0,42.0,3.2,4,5.0,0.8,0,0.0,0.0,1,2.0,0.5,9.0,0.7,2,5,7.0,0.5,4,5,2,1,0.0,mount st marys,2013-14
22,Sydney Henderson,31.0,31.0,1141.0,36.8,153,383.0,0.399,38,121.0,0.314,62,81.0,0.765,406.0,13.1,45,142,187.0,6.0,72,81,107,56,4.0,mount st marys,2012-13
24,Jacqueline Brewer,31.0,26.0,754.0,24.3,110,254.0,0.433,56,127.0,0.441,33,46.0,0.717,309.0,10.0,30,64,94.0,3.0,22,36,42,32,8.0,mount st marys,2012-13
33,Tara Lonergan,28.0,16.0,669.0,23.9,97,175.0,0.554,1,4.0,0.25,23,28.0,0.821,218.0,7.8,26,69,95.0,3.4,73,19,33,22,25.0,mount st marys,2012-13
32,Jessie Kaufman,23.0,16.0,556.0,24.2,63,177.0,0.356,31,94.0,0.33,8,11.0,0.727,165.0,7.2,19,56,75.0,3.3,44,18,24,14,20.0,mount st marys,2012-13
20,Kayla Grossett,31.0,4.0,661.0,21.3,73,204.0,0.358,6,43.0,0.14,46,58.0,0.793,198.0,6.4,38,67,105.0,3.4,70,37,66,28,5.0,mount st marys,2012-13
10,Selina Mann,31.0,30.0,992.0,32.0,57,162.0,0.352,15,45.0,0.333,62,74.0,0.838,191.0,6.2,38,88,126.0,4.1,88,121,86,81,6.0,mount st marys,2012-13
45,Rachel Mathews,31.0,28.0,643.0,20.7,53,131.0,0.405,0,0.0,0.0,45,62.0,0.726,151.0,4.9,39,82,121.0,3.9,64,23,59,13,20.0,mount st marys,2012-13
14,Ashley Christie,22.0,0.0,445.0,20.2,28,104.0,0.269,16,66.0,0.242,18,30.0,0.6,90.0,4.1,14,38,52.0,2.4,33,49,38,16,2.0,mount st marys,2012-13
42,Jenn Carney,24.0,3.0,189.0,7.9,17,44.0,0.386,7,21.0,0.333,17,21.0,0.81,58.0,2.4,9,10,19.0,0.8,10,7,20,8,0.0,mount st marys,2012-13
4,Jayla Leftwich,1.0,0.0,1.0,1.0,1,1.0,1.0,0,0.0,0.0,0,1.0,0.0,2.0,2.0,0,0,0.0,0.0,0,0,0,0,0.0,mount st marys,2012-13
21,Jody Chickey,23.0,1.0,160.0,7.0,6,20.0,0.3,0,4.0,0.0,6,11.0,0.545,18.0,0.8,2,14,16.0,0.7,14,20,27,3,1.0,mount st marys,2012-13
3,Melanie Mocniak,17.0,0.0,89.0,5.2,3,20.0,0.15,2,7.0,0.286,1,2.0,0.5,9.0,0.5,3,5,8.0,0.5,18,2,7,3,3.0,mount st marys,2012-13
10,Michaela Harrison,31.0,30.0,981.0,31.6,131,394.0,0.332,61,249.0,0.245,40,55.0,0.727,363.0,11.7,13,67,80.0,2.6,48,36,60,24,2.0,mount st marys,2022-23
22,Jessica Tomasetti,31.0,31.0,979.0,31.6,121,295.0,0.41,27,85.0,0.318,64,78.0,0.821,333.0,10.7,52,117,169.0,5.5,63,64,74,35,2.0,mount st marys,2022-23
43,Natalie Villaflor,31.0,31.0,966.0,31.2,115,288.0,0.399,30,103.0,0.291,54,74.0,0.73,314.0,10.1,33,111,144.0,4.6,62,41,70,41,17.0,mount st marys,2022-23
4,Jo Raflo,28.0,24.0,739.0,26.4,89,230.0,0.387,35,108.0,0.324,26,47.0,0.553,239.0,8.5,22,70,92.0,3.3,56,29,51,21,34.0,mount st marys,2022-23
13,Aryna Taylor,24.0,7.0,506.0,21.1,67,161.0,0.416,39,97.0,0.402,23,28.0,0.821,196.0,8.2,15,46,61.0,2.5,55,22,48,20,5.0,mount st marys,2022-23
0,Isabella Hunt,31.0,31.0,881.0,28.4,62,183.0,0.339,4,23.0,0.174,53,80.0,0.663,181.0,5.8,70,157,227.0,7.3,102,94,100,62,13.0,mount st marys,2022-23
25,Carissa Dunham,31.0,1.0,416.0,13.4,27,90.0,0.3,18,64.0,0.281,3,4.0,0.75,75.0,2.4,4,24,28.0,0.9,32,26,26,11,0.0,mount st marys,2022-23
15,Jasmine Lindsay-Huskey,24.0,0.0,391.0,16.3,11,54.0,0.204,6,33.0,0.182,7,8.0,0.875,35.0,1.5,9,24,33.0,1.4,44,19,15,11,2.0,mount st marys,2022-23
12,Giana Hoddinott,4.0,0.0,33.0,8.3,1,5.0,0.2,0,2.0,0.0,2,2.0,1.0,4.0,1.0,3,1,4.0,1.0,3,1,4,2,0.0,mount st marys,2022-23
3,McKenzie Matheny,24.0,0.0,222.0,9.3,9,21.0,0.429,3,8.0,0.375,3,6.0,0.5,24.0,1.0,16,22,38.0,1.6,40,6,22,10,3.0,mount st marys,2022-23
33,Isabella Pelaia,6.0,0.0,25.0,4.2,1,7.0,0.143,1,4.0,0.25,3,3.0,1.0,6.0,1.0,0,1,1.0,0.2,2,0,2,1,0.0,mount st marys,2022-23
20,Jaedyn Jamison,15.0,0.0,104.0,6.9,4,17.0,0.235,2,9.0,0.222,2,5.0,0.4,12.0,0.8,1,17,18.0,1.2,8,5,7,3,6.0,mount st marys,2022-23
11,Jada Lee,1.0,0.0,1.0,1.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,1,0,0,0,0.0,mount st marys,2022-23
2,Kemia Ward,1.0,0.0,6.0,6.0,0,1.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,1,1.0,1.0,5,1,1,0,0.0,mount st marys,2022-23
4,Alexis Carter,29.0,28.0,959.0,33.1,143,390.0,0.367,38,141.0,0.27,46,64.0,0.719,370.0,12.8,39,165,204.0,7.0,52,29,67,56,13.0,mount st marys,2015-16
25,Jessica Harris,30.0,27.0,911.0,30.4,117,311.0,0.376,35,115.0,0.304,43,71.0,0.606,312.0,10.4,54,115,169.0,5.6,53,38,76,46,6.0,mount st marys,2015-16
14,Sarafina Arthur-Williams,29.0,27.0,714.0,24.6,87,207.0,0.42,0,1.0,0.0,35,66.0,0.53,209.0,7.2,54,102,156.0,5.4,69,30,47,29,9.0,mount st marys,2015-16
21,Jody Chickey,28.0,22.0,794.0,28.4,61,175.0,0.349,4,31.0,0.129,52,72.0,0.722,178.0,6.4,23,47,70.0,2.5,76,115,121,29,6.0,mount st marys,2015-16
11,Katrice Dickson,28.0,18.0,603.0,21.5,56,153.0,0.366,15,53.0,0.283,46,62.0,0.742,173.0,6.2,22,33,55.0,2.0,47,26,56,18,7.0,mount st marys,2015-16
12,Kayla Bates,30.0,12.0,643.0,21.4,53,145.0,0.366,29,80.0,0.363,22,33.0,0.667,157.0,5.2,18,61,79.0,2.6,51,23,34,29,7.0,mount st marys,2015-16
31,Kaitlyn Eisenhard,13.0,3.0,262.0,20.2,22,50.0,0.44,0,0.0,0.0,17,30.0,0.567,61.0,4.7,33,34,67.0,5.2,18,8,16,4,12.0,mount st marys,2015-16
3,Kathleen Belanger-Finn,30.0,10.0,495.0,16.5,32,86.0,0.372,8,24.0,0.333,41,50.0,0.82,113.0,3.8,11,38,49.0,1.6,32,36,64,10,0.0,mount st marys,2015-16
32,Caroline Hummell,22.0,0.0,148.0,6.7,14,31.0,0.452,0,2.0,0.0,9,18.0,0.5,37.0,1.7,8,10,18.0,0.8,19,0,9,3,1.0,mount st marys,2015-16
13,Stacey Koutris,24.0,3.0,220.0,9.2,14,46.0,0.304,5,22.0,0.227,3,4.0,0.75,36.0,1.5,19,30,49.0,2.0,22,6,8,13,0.0,mount st marys,2015-16
